timestamp,branch,transaction_type,txn_count,fraud_alerts,blocked_txns,fraud_loss,risk_level
2025-08-15 00:00:00+00:00,SG-MAIN,TRANSFER,39,2,1,278.22,Low
2025-08-15 00:00:00+00:00,SG-MAIN,PAYMENT,54,0,0,0.0,Low
2025-08-15 00:00:00+00:00,SG-MAIN,WITHDRAWAL,26,1,0,864.94,Low
2025-08-15 00:00:00+00:00,SG-TAMP,TRANSFER,26,0,0,0.0,Low
2025-08-15 00:00:00+00:00,SG-TAMP,PAYMENT,50,1,1,0.0,Low
2025-08-15 00:00:00+00:00,SG-TAMP,WITHDRAWAL,30,0,0,0.0,Low
2025-08-15 00:00:00+00:00,SG-ORCHARD,TRANSFER,19,1,0,1745.42,Low
2025-08-15 00:00:00+00:00,SG-ORCHARD,PAYMENT,43,0,0,0.0,Low
2025-08-15 00:00:00+00:00,SG-ORCHARD,WITHDRAWAL,22,0,0,0.0,Low
2025-08-15 00:00:00+00:00,SG-JURONG,TRANSFER,24,0,0,0.0,Low
2025-08-15 00:00:00+00:00,SG-JURONG,PAYMENT,48,0,0,0.0,Low
2025-08-15 00:00:00+00:00,SG-JURONG,WITHDRAWAL,29,0,0,0.0,Low
2025-08-15 00:00:00+00:00,SG-WOODLANDS,TRANSFER,24,0,0,0.0,Low
2025-08-15 00:00:00+00:00,SG-WOODLANDS,PAYMENT,33,1,1,0.0,Low
2025-08-15 00:00:00+00:00,SG-WOODLANDS,WITHDRAWAL,26,0,0,0.0,Low
2025-08-15 00:10:00+00:00,SG-MAIN,TRANSFER,35,0,0,0.0,Low
2025-08-15 00:10:00+00:00,SG-MAIN,PAYMENT,51,0,0,0.0,Low
2025-08-15 00:10:00+00:00,SG-MAIN,WITHDRAWAL,32,0,0,0.0,Low
2025-08-15 00:10:00+00:00,SG-TAMP,TRANSFER,31,0,0,0.0,Low
2025-08-15 00:10:00+00:00,SG-TAMP,PAYMENT,42,0,0,0.0,Low
2025-08-15 00:10:00+00:00,SG-TAMP,WITHDRAWAL,31,0,0,0.0,Low
2025-08-15 00:10:00+00:00,SG-ORCHARD,TRANSFER,29,1,1,0.0,Low
2025-08-15 00:10:00+00:00,SG-ORCHARD,PAYMENT,53,0,0,0.0,Low
